"temp_room_id","spot_id","room_code","room_title","room_size_pyeong","room_size_square_meter","room_count","base_count","max_count","offseason_weekday_min_fee","offseason_weekend_min_fee","peak_season_weekday_min_fee","peak_season_weekend_min_fee","room_intro","has_bath_facility","has_bath","has_home_theater","has_air_condition","has_tv","has_pc","has_cable","has_internet","has_refrigerator","has_toiletries","has_sofa","has_cook","has_table","has_hairdryer"
5,3049899,,슈페리어 더블,"9","29","0","2","4","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
6,3049899,,디럭스 더블,"0","0","0","2","2","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
7,3049899,,패밀리 사우나,"0","0","0","2","4","0","0","0","0",,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
1,3106613,,월정교,"5","18","1","2","2","120000","0","150000","160000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
2,3106613,,천마총,"5","18","1","2","2","120000","0","150000","160000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
3,3106613,,안압지,"5","18","1","2","2","120000","0","150000","160000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
4,3106613,,첨성대,"5","18","1","2","3","130000","160000","160000","170000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
5,3106613,,불국사,"7","26","1","2","3","150000","180000","180000","190000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
6,3106613,,석굴암,"7","26","1","2","4","150000","180000","180000","190000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
7,3106613,,분황사,"5","18","1","2","2","120000","150000","150000","160000",,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
1,3101949,,한옥독채,"6","20","2","2","6","285000","450000","450000","450000","침대방, 거실 및 주방, 전통 온돌방/ 예약가격에는 자쿠지는 무료임",Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y
1,3049913,,온돌,"0","0","0","3","3","0","0","0","0",,Y,,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y
2,3049913,,스탠다드,"0","0","0","2","2","0","0","0","0",,Y,Y,,Y,Y,Y,,Y,Y,Y,,,Y,Y
3,3049913,,VIP,"0","0","0","3","3","0","0","0","0",,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y
4,3049913,,디럭스,"0","0","0","2","2","0","0","0","0",,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y
1,3049879,,패밀리 더블룸,"0","0","0","4","4","0","0","0","0",,Y,,,,,,,Y,,,,,,
2,3049879,,더블룸,"0","0","0","2","2","0","0","0","0",,Y,,,,,,,Y,,,,,,
3,3049879,,공용 도미토리,"0","0","0","0","0","0","0","0","0",,,,,,,,,Y,,,,,,
1,1954014,,스탠다드 더블룸(랜덤배정),"14","0","0","2","4","150000","190000","0","0",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,Y,Y,Y
1,143008,,스탠다드 더블,"0","29.5","3","2","2","286000","286000","286000","286000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
2,143008,,패밀리 스위트,"9","29","7","2","2","484000","484000","484000","484000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,Y,,Y,Y,,Y,Y,Y,,Y,,Y,Y
2,3049878,,일반실,"0","0","0","0","0","0","0","0","0",,Y,Y,,Y,Y,Y,,,,,Y,,Y,
3,3049878,,특실(하늘열리는방),"0","0","0","0","0","0","0","0","0",,Y,Y,,Y,Y,Y,,,,,Y,,Y,
1,3101953,,아랫채,"0","0","1","2","4","0","0","0","0","방 1개, 욕실 1개",,,,,,,,,,,,,,
2,3101953,,"도령실 1,2,3","0","0","3","2","2","0","0","120000","0","작은 2인실/ 한건물에 3개 숙소, 각 숙소에 개인 방, 개인 작은 파우더룸, 개인 화장실",,,,Y,,,,,Y,Y,,,,
3,3101953,,안채,"0","0","1","2","6","0","0","0","0","큰 방 1개, 작은 방 1개, 큰 마루 1개, 욕실 1개",,,,Y,,,,,Y,Y,,,,
4,3101953,,대감실,"0","0","1","2","4","0","0","0","0","방 1개, 마루 1개, 욕실 1개/ 4인 이상시 두 방 모두 예약하면 독채로 사용 가능. 유아도 인원에 포함.",,,,Y,,,,,Y,Y,,,,
5,3101953,,마님실,"0","0","1","2","4","0","0","0","0","방 1개, 마루 1개, 욕실 1개/ 4인 이상시 두 방 모두 예약하면 독채로 사용 가능. 유아도 인원에 포함.",,,,Y,,,,,Y,Y,,,,
6,3101953,,사랑채,"0","0","1","2","6","0","0","0","0","독채 단독 건물/ 큰 방 1개, 큰 마루 1개, 욕실 1개",,,,Y,,,,,Y,Y,,,,
4,3049879,,싱글룸,"0","0","0","1","1","0","0","0","0",,Y,,,,,,,Y,,,,,,
1,3102072,,여유,"10","33.1","1","2","3","0","0","280000","300000",,Y,Y,,Y,,,,Y,Y,Y,,,Y,Y
2,3102072,,여행,"10","35","1","2","3","0","0","280000","300000",,Y,Y,,Y,,,,Y,Y,Y,,,Y,Y
1,3102073,,오원 스테이,"0","0","1","2","4","0","0","0","0",,Y,,Y,Y,,,,Y,Y,Y,,Y,Y,Y
1,3101941,,두리안룸,"0","0","2","2","4","110000","110000","120000","140000",,Y,,,Y,,,,Y,,,,,Y,
2,3101941,,블루베리룸,"0","0","2","2","4","110000","110000","120000","140000",,Y,,,Y,,,,Y,,,,,Y,
3,3101941,,체리룸,"0","0","1","2","2","80000","110000","100000","120000",,Y,,,Y,,,,Y,,,,,Y,
4,3101941,,애플룸,"0","0","1","2","3","110000","110000","120000","140000",,Y,,,Y,,,,Y,,,,,Y,
3,143008,,스탠다드 트윈,"0","29.5","14","2","3","297000","297000","297000","297000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
4,143008,,디럭스 더블,"0","29.5","10","2","2","297000","297000","297000","297000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
5,143008,,패밀리 트윈,"0","29.5","13","3","4","352000","352000","352000","352000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,Y,,Y,Y,,Y,Y,Y,,Y,,,Y
6,143008,,디럭스 트윈,"0","29.5","815","2","3","319000","319000","319000","319000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
7,143008,,스탠다드 온돌,"0","23","5","3","4","286000","286000","286000","286000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
8,143008,,이그제큐티브  스위트,"0","66","3","4","6","550000","550000","550000","550000",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
1,2706608,,온돌 2인 트윈룸(2층),"0","0","1","2","2","100000","150000","0","0",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
2,2706608,,"2인 더블룸 (2층 침대방)","0","0","1","2","2","200000","300000","0","0",※ 위 정보는 2025년 10월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y
1,3049911,,대가족실,"25","82","1","6","6","0","0","339000","339000",킹 침대 2개,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
2,3049911,,"5인 객실","18","59","1","5","0","0","0","200000","200000","킹 침대 1, 퀸 침대 1",Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
3,3049911,,"4인 객실","12","39","8","4","5","0","0","179000","179000",저상형 베드 2개,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y
4,3049911,,"1인 출장객실","9","29","0","1","2","0","0","0","0",황토와 편백 나무의 친환경 소재로 만들어진 출장 객실 / 장기 숙박 예약도 이용 가능 / ※ 주말 예약불가,Y,,,Y,Y,,Y,Y,Y,Y,,,,Y
5,3049911,,"3인 객실","12","39","6","3","3","0","0","129000","149000",저상형 침대,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y
6,3049911,,"2인 객실","18","59","6","2","2","0","0","139000","139000",킹침대,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y
1,912647,,안나수이,"15","49","1","2","4","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
2,912647,,타임스퀘어,"15","49","1","2","4","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
3,912647,,스피드레이싱,"25","82","1","4","4","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
4,912647,,런던러브,"17","56","1","2","6","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
5,912647,,핑크홀릭,"13","42","1","2","3","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
6,912647,,인마이룸,"17","56","1","2","3","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
7,912647,,메이블루,"25","82","1","4","4","0","0","0","0",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,Y,,Y,Y,,Y,Y,Y
1,1867200,,요석,"13","42","0","2","4","100000","120000","120000","120000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
2,1867200,,알지,"17","56.1","0","6","6","170000","200000","200000","200000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
3,1867200,,시림,"17","56.1","0","6","6","170000","200000","200000","200000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
4,1867200,,아사녀,"13","42.9","0","2","4","100000","120000","120000","120000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
5,1867200,,시림+알지,"17","56.1","0","12","12","340000","400000","400000","400000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
6,1867200,,아사달,"13","42.9","0","2","4","100000","120000","120000","120000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,,,,Y,Y,,,,Y,Y,,Y,,Y
1,2531362,,달,"4","13.2","0","4","4","100000","159000","189000","259000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,,,,Y,Y,Y,,Y,,Y
2,2531362,,별,"5","16.5","0","6","6","130000","189000","209000","289000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,,,,Y,Y,Y,,Y,,Y
3,2531362,,독채,"24","79.3","0","10","10","439000","599000","620000","710000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,,,,Y,Y,Y,,Y,,Y
4,2531362,,해바라기,"3","13.2","0","4","3","90000","139000","179000","239000",※ 위 정보는 2025년 9월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,,,,Y,Y,Y,,Y,,Y
1,3102081,,한옥 독채,"25","82.5","1","2","6","0","0","290000","390000","위 정보는 2025년 7월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
2,3102081,,언덕룸(2인실),"0","0","1","2","2","0","0","0","0","※ 위 정보는 2025년 7월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
3,3102081,,동녘룸(2인실),"0","0","1","2","2","0","0","0","0","※ 위 정보는 2025년 7월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y
1,3082026,,둘,"21","70","2","2","5","230000","450000","550000","550000",※ 위 정보는 2025년 8월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
2,3082026,,하나,"21","70","2","2","5","230000","450000","320000","550000",※ 위 정보는 2025년 8월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
3,3082026,,셋,"21","70","2","2","5","230000","450000","550000","550000",※ 위 정보는 2025년 8월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y
1,2000964,,별당 큰방,"5","18","0","2","2","300000","300000","300000","300000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,,,,,,,,,,
2,2000964,,행랑방,"1","4","0","2","2","150000","150000","150000","150000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,
3,2000964,,안채 안방,"4","14","0","2","2","500000","500000","500000","500000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,
4,2000964,,정지방,"1","4","0","2","2","150000","150000","150000","150000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,Y,,,,,,,,,,
5,2000964,,안채 건넌방,"1","4","0","2","2","250000","250000","250000","250000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,
6,2000964,,사랑채 사랑방,"2","7","0","2","2","500000","500000","500000","500000","※ 위 정보는 2025년 4월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,
1,3044607,,"103","22","72","1","2","4","250000","250000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
2,3044607,,"203 / 303","14","46","1","2","4","200000","200000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
3,3044607,,"201 / 301","14","46","1","2","4","200000","200000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
4,3044607,,"101","18","59","1","2","4","250000","250000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
5,3044607,,"1103","38","125","2","6","10","600000","600000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
6,3044607,,"1101","20","66","1","2","4","250000","250000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
7,3044607,,"102","18","59","1","2","4","250000","250000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
8,3044607,,"1102","40","132","2","6","12","600000","600000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
9,3044607,,"202 / 302","14","46","1","2","4","200000","200000","0","0",※ 위 정보는 2025년 2월에 작성된 정보로 해당 숙박시설 이용 요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y
1,2814160,,오우가 2층,"12","40","1","2","4","0","0","0","0","온돌룸A(여분 침구류2)+화장실1, 테라스바베큐가능
",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
2,2814160,,복연가1,"20","66","1","3","6","0","0","0","0","복층,테라스바베큐가능
",Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
3,2814160,,오우가 1층,"12","40","1","2","4","0","0","0","0","온돌룸A(여분 침구류2)+화장실1, 테라스바베큐가능
",Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y
4,2814160,,복연가2,"7","27","1","2","3","0","0","0","0","온돌룸A(여분 침구류1)+화장실1, 테라스바베큐가능
",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
5,2814160,,다빈치글램핑,"20","66","1","2","2","0","0","0","0","침대룸A(더블1)+화장실1, 독채,테라스바베큐가능",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
6,2814160,,"글램핑(인디안, 스머프, 밀덕)","20","66","1","2","4","0","0","0","0","침대룸A(더블1)+화장실1, 복층,테라스바베큐가능,독채",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y
1,2707233,,"2102","0","0","0","2","2","150000","170000","170000","190000",,,,,Y,Y,,,Y,,Y,,,,
2,2707233,,"2101","0","0","0","2","2","150000","170000","170000","190000",,,,,Y,Y,,,Y,,Y,,,,
3,2707233,,"3102","0","0","0","2","2","150000","170000","170000","190000",,,,,Y,Y,,,Y,,Y,,,,
4,2707233,,"3101","0","0","0","2","2","170000","190000","190000","210000",,,,,Y,Y,,,,,Y,,,,
5,2707233,,"2103","0","0","0","2","2","150000","170000","170000","190000",,,,,Y,Y,,,Y,,Y,,,,
6,2707233,,"2202","0","0","0","2","2","190000","210000","210000","230000",,,,,Y,Y,,,Y,,Y,,,,
7,2707233,,"2201","0","0","0","2","4","300000","330000","330000","360000",,,,,Y,Y,,,Y,,Y,,,,
1,1972448,,"5호실","4","13","0","2","2","100000","120000","140000","140000",※ 객실에 관한 자세한 사항은 전화 문의 요망,,,,Y,Y,,Y,Y,,Y,,,,Y
2,1972448,,"3호실","5","16","0","2","2","100000","120000","140000","140000",※ 객실에 관한 자세한 사항은 전화 문의 요망,,,,Y,Y,,Y,Y,,Y,,,,Y
3,1972448,,"1호실","5","16","0","2","2","100000","120000","140000","140000",※ 객실에 관한 자세한 사항은 전화 문의 요망,,,,Y,Y,,Y,Y,,Y,,,,Y
4,1972448,,"2호실","4","13","0","2","2","100000","120000","140000","140000",※ 객실에 관한 자세한 사항은 전화 문의 요망,,,,Y,Y,,Y,Y,,Y,,,,Y
1,2446529,,씨밀레 / 누리,"4","13.5","2","2","4","80000","100000","90000","110000",,Y,,,Y,Y,,Y,Y,,Y,,,,Y
2,2446529,,도담 / 초롱,"2","9","2","2","3","70000","90000","80000","100000",,Y,,,Y,Y,,Y,Y,,Y,,,,Y
1,1971917,,유채꽃,"5","178","0","2","3","80000","95000","135000","155000",,,,,Y,Y,,,Y,Y,,,,Y,Y
2,1971917,,선덕,"7","23","0","2","4","90000","105000","145000","165000",,Y,,,Y,Y,,,Y,Y,Y,,,,Y
3,1971917,,문무,"4","13","0","2","2","70000","85000","145000","165000",,,,,Y,Y,,,Y,Y,Y,,,,Y
4,1971917,,벚꽃,"7","23","0","2","3","90000","105000","145000","165000",,Y,,,Y,Y,,,Y,Y,Y,,,,Y
5,1971917,,동궁,"4","13","0","2","2","70000","85000","125000","145000",,,,,Y,Y,,,Y,Y,,,,,Y
